Date,Price
1999-01-04,53.929770947497516
1999-01-05,53.722775399174786
1999-01-06,53.85121879069812
1999-01-07,53.70632190687221
1999-01-08,53.567794116840844
1999-01-11,53.4871189287766
1999-01-12,53.75621314159615
1999-01-13,53.98231597130252
1999-01-14,54.33951598161327
1999-01-15,54.134643464555396
1999-01-18,54.16595817571191
1999-01-19,54.074667831323424
1999-01-20,53.98443900256736
1999-01-21,54.13305119110675
1999-01-22,54.31669339551615
1999-01-25,54.28272489527858
1999-01-26,54.23389517618706
1999-01-27,54.25884079354903
1999-01-28,54.348008106672665
1999-01-29,54.51838136567676
1999-01-31,54.5380194048766
1999-02-01,54.23071062928979
1999-02-02,54.06564494844782
1999-02-03,53.95206277577842
1999-02-04,53.77744345424463
1999-02-05,53.73073676641797
1999-02-08,53.78965088401752
1999-02-09,53.877225923692514
1999-02-10,53.872449103346604
1999-02-11,53.86289546265479
1999-02-12,53.38786721714494
1999-02-15,53.41758965485282
1999-02-16,53.61503156248372
1999-02-17,53.766297540104176
1999-02-18,53.67341492226706
1999-02-19,53.5524021401707
1999-02-22,53.69199144583448
1999-02-23,53.51843363993312
1999-02-24,53.27163125539448
1999-02-25,52.93937686244569
1999-02-26,53.12248830903888
1999-02-28,53.14159559042251
1999-03-01,52.88789335427312
1999-03-02,53.09701193386069
1999-03-03,52.97175308923463
1999-03-04,52.905408362208114
1999-03-05,53.16176438743857
1999-03-08,53.25995458343782
1999-03-09,53.51843363993312
1999-03-10,53.462704069230846
1999-03-11,53.475973014636146
1999-03-12,53.61768535156479
1999-03-15,53.7190600944613
1999-03-16,53.890494869097815
1999-03-17,53.811942712298425
1999-03-18,53.88253350185464
1999-03-19,53.73073676641797
1999-03-22,53.659084461229334
1999-03-23,53.69729902399661
1999-03-24,53.809288923217366
1999-03-25,53.66439203939145
1999-03-26,53.660145976861756
1999-03-29,53.53594864786812
1999-03-30,53.74612874308812
1999-03-31,53.62458520317554
1999-04-01,53.50622621016024
1999-04-02,53.79071239964994
1999-04-05,53.832642267130694
1999-04-06,54.04812994051282
1999-04-07,54.049191456145245
1999-04-08,54.343231286326755
1999-04-09,54.307139754824334
1999-04-12,54.319347184597206
1999-04-13,54.17975787893342
1999-04-14,54.169673480425395
1999-04-15,54.09589814397191
1999-04-16,53.953124291410845
1999-04-19,54.147912409960696
1999-04-20,54.22805684020873
1999-04-21,54.21531865261964
1999-04-22,53.93454776784342
1999-04-23,53.980723697853875
1999-04-26,54.05874509683706
1999-04-27,54.132520433290544
1999-04-28,54.03167644821024
1999-04-29,54.23389517618706
1999-04-30,53.810881196666
1999-05-03,53.806104376320086
1999-05-04,53.67023037536979
1999-05-05,53.74719025872054
1999-05-06,53.43669693623645
1999-05-07,53.376190545188265
1999-05-10,53.52745652280873
1999-05-11,53.35283720127494
1999-05-12,53.41652813922039
1999-05-13,53.75621314159615
1999-05-14,53.18405621571948
1999-05-17,53.15645680927645
1999-05-18,53.21165562216251
1999-05-19,53.31249960724282
1999-05-20,53.20900183308145
1999-05-21,53.419181928301455
1999-05-24,53.515779850852056
1999-05-25,53.41652813922039
1999-05-26,53.274815802291755
1999-05-27,53.08108919937433
1999-05-28,53.00200628475873
1999-05-31,53.03225948028281
1999-06-01,52.62622975088054
1999-06-02,52.624106719615696
1999-06-03,52.63843718065342
1999-06-04,52.61083777421039
1999-06-07,52.62357596179948
1999-06-08,52.57103093799448
1999-06-09,52.47814832015736
1999-06-10,52.35607402242857
1999-06-11,52.07954920018206
1999-06-14,52.2085233495216
1999-06-15,52.21011562297024
1999-06-16,52.33802825667736
1999-06-17,52.77218815033888
1999-06-18,52.633129602491294
1999-06-21,52.50309393751933
1999-06-22,52.40808828841736
1999-06-23,52.233999724699785
1999-06-24,52.111925426971
1999-06-25,52.195785161932506
1999-06-28,52.399065405541755
1999-06-29,52.509993789130085
1999-06-30,52.77059587689024
1999-07-01,52.69045144664221
1999-07-02,52.73131979849054
1999-07-05,52.76210375183085
1999-07-06,52.66232128238297
1999-07-07,52.585892156848416
1999-07-08,52.777495728500995
1999-07-09,52.77378042378751
1999-07-12,53.14053407479009
1999-07-13,53.20104046583827
1999-07-14,53.133634223179335
1999-07-15,53.17397181721145
1999-07-16,53.28861550551327
1999-07-19,53.327891583912965
1999-07-20,53.38309039679903
1999-07-21,53.34381431839933
1999-07-22,53.065166464887966
1999-07-23,52.91814654979721
1999-07-26,52.793418462987354
1999-07-27,52.894262448067664
1999-07-28,52.91071594037024
1999-07-29,52.707435696760996
1999-07-30,52.452141187162965
1999-07-31,52.462225585671
1999-08-02,52.45320270279539
1999-08-03,52.36562766312039
1999-08-04,52.41923420255782
1999-08-05,52.626760508696755
1999-08-06,52.224446084007965
1999-08-09,51.89272244887539
1999-08-10,51.84920030794599
1999-08-11,51.97711294165311
1999-08-12,51.92775246474539
1999-08-13,52.21011562297024
1999-08-16,52.29026005321827
1999-08-17,52.53547016430827
1999-08-18,52.59226125064296
1999-08-19,52.537593195573116
1999-08-20,52.61773762582115
1999-08-23,52.64215248536691
1999-08-24,52.809871955289935
1999-08-25,53.102850269839024
1999-08-26,53.024298113039634
1999-08-27,52.740342681366144
1999-08-30,52.46487937475206
1999-08-31,52.32741310035311
1999-09-01,52.32529006908827
1999-09-02,52.206400318256755
1999-09-03,52.57846154742145
1999-09-06,52.61083777421039
1999-09-07,52.42878784324963
1999-09-08,52.50574772660039
1999-09-09,52.42082647600645
1999-09-10,52.63684490720478
1999-09-13,52.62729126651296
1999-09-14,52.49035574993024
1999-09-15,52.58642291466463
