Date,MSCI World Net Return
2020-02-28,274.165
2020-03-31,237.881
2020-04-30,263.868
2020-05-29,276.615
2020-06-30,283.932
2020-07-31,297.516
2020-08-31,317.394
2020-09-30,306.444
2020-10-30,297.044
2020-11-30,335.025
2020-12-31,349.229
2021-01-29,345.758
2021-02-26,354.617
2021-03-31,366.416
2021-04-30,383.469
2021-05-31,388.993
2021-06-30,394.791
2021-07-30,401.863
2021-08-31,411.865
2021-09-30,394.764
2021-10-29,417.124
2021-11-30,407.983
2021-12-31,425.421
2022-01-31,402.911
2022-02-28,392.721
2022-03-31,403.499
2022-04-29,369.979
2022-05-31,370.259
2022-06-30,338.186
2022-07-29,365.037
2022-08-31,349.776
2022-09-30,317.261
2022-10-31,340.044
2022-11-30,363.687
2022-12-30,348.243
2023-01-31,372.883
2023-02-28,363.919
2023-03-31,375.164
2023-04-28,381.741
2023-05-31,377.93
2023-06-30,400.786
2023-07-31,414.249
2023-08-31,404.355
2023-09-29,386.912
2023-10-31,375.685
2023-11-30,410.906
2023-12-29,431.079
2024-01-31,436.253
2024-02-29,454.749
2024-03-29,469.362
2024-04-30,451.928
2024-05-31,472.107
2024-06-28,481.714
2024-07-31,490.202
2024-08-30,503.159
